iter	RMSE
0	2.513420036e+10
1	2.418414314e+10
2	2.329071571e+10
3	2.244739741e+10
4	2.16719834e+10
5	2.094942851e+10
6	2.025203447e+10
7	1.954421676e+10
8	1.890998444e+10
9	1.827848689e+10
10	1.772294919e+10
11	1.715505055e+10
12	1.667313755e+10
13	1.621988313e+10
14	1.576825669e+10
15	1.535105915e+10
16	1.496105753e+10
17	1.456398967e+10
18	1.421327417e+10
19	1.384519737e+10
20	1.353419216e+10
21	1.32250198e+10
22	1.291410785e+10
23	1.266065645e+10
24	1.242344173e+10
25	1.219234237e+10
26	1.198877709e+10
27	1.179788726e+10
28	1.159548504e+10
29	1.140631408e+10
30	1.123629236e+10
31	1.108554484e+10
32	1.093159789e+10
33	1.078313748e+10
34	1.063788453e+10
35	1.052200145e+10
36	1.040572021e+10
37	1.029799117e+10
38	1.020676999e+10
39	1.011564983e+10
40	1.002186765e+10
41	9929913340
42	9853988217
43	9778649801
44	9695288909
45	9627455962
46	9572601961
47	9518810529
48	9464286208
49	9418756505
50	9355037542
51	9311394800
52	9277414652
53	9231768871
54	9193443990
55	9152306679
56	9112486223
57	9080272788
58	9039803117
59	9003910429
60	8975423657
61	8949104132
62	8913955203
63	8882535889
64	8859002157
65	8836011785
66	8808121855
67	8775743569
68	8745470857
69	8713491241
70	8692881010
71	8673331158
72	8650668792
73	8630026571
74	8606025140
75	8586736127
76	8566885324
77	8551704951
78	8536064147
79	8520911250
80	8507721285
81	8489450618
82	8481780631
83	8464584935
84	8454612678
85	8434883486
86	8429886903
87	8404170668
88	8393137217
89	8378640804
90	8367907484
91	8355291023
92	8336751741
93	8327891948
94	8311508430
95	8297814183
96	8292432751
97	8277645879
98	8269398715
99	8268112701
100	8256321381
101	8238582091
102	8227142979
103	8217793700
104	8210295671
105	8197164534
106	8188030947
107	8183045402
108	8175418986
109	8159838777
110	8145965157
111	8137709080
112	8130679217
113	8122242919
114	8112608553
115	8104451306
116	8098897469
117	8094310459
118	8088310421
119	8078491683
120	8070102050
121	8066651690
122	8060160978
123	8056827404
124	8047374777
125	8038601064
126	8035731340
127	8033789941
128	8030207613
129	8025805971
130	8016156276
131	8008687154
132	8002479905
133	7997370670
134	7990817701
135	7981774141
136	7978543455
137	7973706335
138	7967168065
139	7960828357
140	7942215588
141	7928459753
142	7923597931
143	7914227462
144	7901855482
145	7898023903
146	7879806354
147	7870442073
148	7863748216
149	7851884614
150	7841412607
151	7834309526
152	7821724814
153	7812557265
154	7809153011
155	7804654160
156	7800812644
157	7795858669
158	7787700771
159	7780710460
160	7773776898
161	7770606404
162	7768231847
163	7763181508
164	7752120704
165	7739923788
166	7730843797
167	7726034378
168	7713943244
169	7705973757
170	7697917778
171	7693503819
172	7689195982
173	7674019192
174	7670289676
175	7663154745
176	7657647221
177	7652309147
178	7645080221
179	7635405690
180	7627592671
181	7619616680
182	7613016535
183	7605271361
184	7602209441
185	7592125797
186	7578305306
187	7574212324
188	7567631273
189	7562446065
190	7551006473
191	7544324144
192	7537948534
193	7531572916
194	7525477917
195	7512821217
196	7505833451
197	7501885591
198	7490064103
199	7484273364
200	7474926326
201	7470111644
202	7458679771
203	7452093624
204	7443798606
205	7438986494
206	7430374042
207	7421665764
208	7412424072
209	7402232174
210	7396059546
211	7387670528
212	7381803916
213	7373317666
214	7364981900
215	7360576699
216	7353315378
217	7347617805
218	7338975214
219	7333756748
220	7326064433
221	7318470776
222	7314942975
223	7309662113
224	7306451669
225	7299005156
226	7294929444
227	7289564775
228	7285135469
229	7278688581
230	7273680313
231	7269772386
232	7264763934
233	7260568279
234	7256067109
235	7251336887
236	7248301095
237	7246502147
238	7240261593
239	7238372987
240	7233196463
241	7229142637
242	7224530125
243	7220583696
244	7218708568
245	7214540419
246	7210347534
247	7205684378
248	7201788104
249	7197880529
250	7193565690
251	7189444077
252	7187421972
253	7185380970
254	7181405462
255	7179286622
256	7177359303
257	7175518811
258	7171948335
259	7167317261
260	7163500871
261	7161758243
262	7159827098
263	7156067384
264	7154420411
265	7153042368
266	7149769026
267	7146298636
268	7143176616
269	7139078167
270	7133708686
271	7130177518
272	7126852181
273	7125325469
274	7121394161
275	7119921240
276	7118512840
277	7112880016
278	7110306818
279	7108968074
280	7105461330
281	7104178250
282	7101069007
283	7099849228
284	7096908527
285	7094511889
286	7092459316
287	7089571543
288	7084737551
289	7079697567
290	7078586941
291	7072195375
292	7067424753
293	7063116794
294	7060378600
295	7056266509
296	7052312936
297	7048510245
298	7045940125
299	7041297366
300	7039461545
301	7037614731
302	7032848115
303	7027957126
304	7026936619
305	7021845265
306	7019434240
307	7014276348
308	7012557432
309	7007776009
310	7005233691
311	7001857797
312	7000382767
313	6998777306
314	6996530498
315	6994998680
316	6990234292
317	6987782489
